model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3.0,25.0,35.0,29.0,6.0,No
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,small car,3.0,25.0,35.0,29.0,6.0,No
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,CA,small SUV,3.0,26.0,27.0,27.0,6.0,No
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,FA,small SUV,3.0,26.0,27.0,27.0,6.0,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,19.0,27.0,22.0,4.0,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,20.0,27.0,23.0,5.0,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,19.0,27.0,22.0,4.0,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,20.0,27.0,23.0,5.0,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,18.0,26.0,21.0,4.0,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,19.0,26.0,22.0,4.0,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,18.0,26.0,21.0,4.0,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,19.0,26.0,22.0,4.0,No
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,small car,3.0,21.0,22.0,21.0,4.0,No
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,small car,3.0,21.0,22.0,21.0,4.0,No
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,20.0,28.0,23.0,5.0,No
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,20.0,28.0,23.0,5.0,No
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,19.0,27.0,22.0,4.0,No
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,19.0,27.0,22.0,4.0,No
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,CA,midsize car,7.0,28.0,29.0,28.0,6.0,No
