model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3.0,25,35,29,6,No
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,small car,3.0,25,35,29,6,No
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,CA,small SUV,3.0,26,27,27,6,No
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,FA,small SUV,3.0,26,27,27,6,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,19,27,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,20,27,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,19,27,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,20,27,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,18,26,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,19,26,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,18,26,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,19,26,22,4,No
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,small car,3.0,21,22,21,4,No
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,small car,3.0,21,22,21,4,No
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,20,28,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,20,28,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,19,27,22,4,No
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,19,27,22,4,No
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,CA,midsize car,7.0,28,29,28,6,No
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,FA,midsize car,7.0,28,29,28,6,No
ACURA RLX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No
ACURA RLX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3.0,23,33,27,6,No
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,FA,small car,3.0,23,33,27,6,No
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20,32,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20,32,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,21,30,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,21,30,24,5,No
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,20,29,23,5,No
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,20,29,23,5,No
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20,30,23,5,No
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20,30,23,5,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,small car,1.0,24,34,28,6,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,FA,small car,1.0,24,34,28,6,No
ALFA ROMEO Giulia,2.0,4,Auto-8,2WD,Gasoline,FA,midsize car,3.0,24,33,27,6,No
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,midsize car,3.0,17,24,20,4,No
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,midsize car,3.0,17,24,20,4,No
ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4WD,Gasoline,FA,midsize car,3.0,23,31,26,5,No
ALFA ROMEO Stelvio AWD,2.0,4,Auto-8,4WD,Gasoline,FA,small SUV,3.0,22,28,24,5,No
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,small SUV,3.0,17,23,19,3,No
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,FA,small SUV,3.0,17,23,19,3,No
ASTON MARTIN Rapide S,6.0,12,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,14,21,17,3,No
ASTON MARTIN Rapide S,6.0,12,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,14,21,17,3,No
"ASTON MARTIN Vanquish, S and Zagato",6.0,12,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,13,21,16,2,No
"ASTON MARTIN Vanquish, S and Zagato",6.0,12,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,13,21,16,2,No
AUDI A3,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,24,31,27,6,No
AUDI A3,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,24,31,27,6,No
AUDI A3,2.0,4,AMS-7,2WD,Gasoline,CA,small car,7.0,26,35,29,6,No
AUDI A3,2.0,4,AMS-7,2WD,Gasoline,FA,small car,7.0,26,35,29,6,No
AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,22,30,25,5,No
AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,22,30,25,5,No
AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,CA,small car,7.0,25,33,28,6,No
AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,FA,small car,7.0,25,33,28,6,No
AUDI A4,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No
AUDI A4,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No
AUDI A4,2.0,4,Man-6,4WD,Gasoline,CA,small car,3.0,24,33,27,6,No
AUDI A4,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,CA,small car,3.0,27,37,31,7,Yes
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,FA,small car,3.0,27,37,31,7,Yes
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No
AUDI A5,2.0,4,Man-6,4WD,Gasoline,CA,small car,3.0,24,33,27,6,No
AUDI A5,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,CA,midsize car,5.0,24,34,27,6,No
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,FA,midsize car,5.0,24,34,27,6,No
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25,34,28,6,No
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25,34,28,6,No
