社群名,微信群名,当前群主,消息日期,消息时间,发言人微信昵称,发言文本内容
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:06:19,Udacity-Celia,"Hi 大家好，

欢迎大家加入数据分析（入门）7天试学班，至此，我们全部的同学都齐啦～
欢迎我们的助教——孟繁春大大！！
希望同学们修改一下群名片，方便助教和班主任联系你，还可以结交志同道合的同学哟～
格式：【姓名+所在地】
希望大家度过收获满满的七天～"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:06:35,Udacity-Celia,@Francis 这位是助教大大[愉快]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:07:40,💍＇徐徐徐雯佳,??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:22:20,Francis,大家好，班主任太给力了，这么快就把人都抓来了[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:24:31,鲍小栋Ben,[奸笑]毕竟这么好的课程，同学们也是很积极呀哈哈哈
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:25:29,Francis,明天开始，你们就归我了，不努力可是很惨的[悠闲]哈哈哈哈～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:26:37,鲍小栋Ben,哈哈哈哈get[奸笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:26:51,Udacity-Celia,没抓来的还去了电话call[奸笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:39:33,登山看景,我是菜鸟一只，请做好心理准备。[憨笑][呲牙]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:40:10,💍＇徐徐徐雯佳,同菜鸟小学生??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,18:45:28,Jester,统计学已经还给老师了，应该也算小学生[调皮][调皮]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,20:03:45,Udacity-Celia,@所有人，大家把classin注册好之后，记得把注册手机号告诉我哦[愉快]这样我才能把大家添加到公开课的名单里
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,21:29:16,Francis,同学们好，刚才我加了大家微信。有的同学需要验证，请大家看一下。这样明后天就可以方便交流了[阴险]。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,21:29:25,鲍小栋Ben,ok
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,21:29:32,甲乙,OK
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,21:30:23,Francis,@冰凌?冰凌同学，你微信设置的是不允许通过群组加好友，请加我。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:27:07,Francis,大家晚上好，我已经加了大家微信，有问题随时联系我，希望明天开始我们拼搏7天，做完自己第一个数据分析项目[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:27:41,Francis,大家早点休息，明天7:00见，加油??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:29:51,Francis,@乔永 广州?乔同学，你还没有通过我的申请，我等着[愉快][困][发呆]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:31:32,Uda-Beauty,他可能在加班??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:31:43,Uda-Beauty,@助教-老孟?助教大大辛苦啦～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:34:58,Francis,我开玩笑的[阴险]@乔永 广州?有问题大家随时联系，一起褥Uda羊毛[调皮]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/22 0:00:00,22:35:25,Francis,说漏嘴了，总之机会难得，大家加油[得意]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,09:47:35,Udacity-Celia,@所有人，今天晚上七点钟就是开班仪式啦[愉快]期待与大家见面～请还没注册好classin的同学抓紧注册一下，并告知Celia你的注册手机号[太阳]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,09:48:08,Udacity-Celia,"另外，请同学们仔细阅读邮件附录《学员手册》和《工具手册》（如果没有收到maybe在垃圾箱里??），Classin是一个视频沟通软件，将用于开班仪式和公开课，下载地址https://www.eeo.cn/download.html。

另外，未填写学籍表的同学请点击链接https://www.diaochapai.com/survey2796786，谢谢！"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,10:01:49,Francis,大家早上好。估计好多人都忙着干完今天的任务呢吧？加油，咱们晚上7:00见[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,10:11:16,苏 南,是在ClassIn 上对吗
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,10:12:06,Francis,对的，需要先安装下，实在不方便电脑的，手机也有程序。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,10:54:08,Udacity-Celia,@乔永 广州 请加一下助教哦，好像你设置了权限，他不能加你@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,10:59:04,Francis,@乔永 广州?班主任要发飙了请快加我[阴险]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:00:06,Udacity-Celia,我很温油的[害羞]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:11:42,十年后的我,加啦哈哈
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:11:56,十年后的我,不好意思之前没看到[捂脸]@Francis
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:51:57,登山看景,我们今天开课是七点，时长多久？@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:52:56,Udacity-Celia,一小时以内
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:53:19,登山看景,好的。谢谢。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,11:55:42,Francis,对的，怕时间长了大家比较辛苦。有问题可以继续群里聊。请大家安排好时间[抱拳]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:13:30,Udacity-Celia,@所有人，给到我注册手机号的同学，已经成功把大家加入classin啦（classin会自动给大家发送提醒，点击进入即可），七点开班仪式见[愉快]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:14:35,Uda-Beauty,7点半见～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:15:14,Udacity-Celia,七点啦[偷笑]@Uda-学习规划师Beauty
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:17:26,Francis,7点见[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:18:55,Uda-Beauty,哈哈哈～7点见～～～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:19:14,Uda-Beauty,伙伴们不要和我一样看错哦～～～7??点哦～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,16:24:22,Udacity-Celia,哈哈哈~~认真的beauty[鼓掌]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:10:51,Francis,还有50分钟，大家准备好没有？????[耶]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:12:41,秋然元悦,感觉赶不上，我还没下班
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:13:05,秋然元悦,7:00估计在路上
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:21:16,QT Chiu,蛤
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:21:26,QT Chiu,我不知道今晚有活动呢
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:21:33,QT Chiu,还约人吃饭了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:30:01,Francis,@秋然元悦?classin可以在手机上看的，要是不开车可以试一下
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:30:49,Francis,@QT Chiu?欢迎新同学??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:32:08,QT Chiu,请问今晚是开讲了还是只是opening？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:33:24,Francis,今天是讲7天项目的总体介绍。学习资源的话明天10:00就可以访问了。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:34:57,QT Chiu,明白
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:35:04,QT Chiu,谢谢～
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:56:31,苏 南,电脑端根本没有找到Class In
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:58:21,甲乙,http://www.eeo.cn/download.html 地址
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:59:13,Francis,大家快速进入战场！[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,18:59:32,Mazzy,[OK]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:04:11,Francis,快来快来[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:04:26,Pearl,在了~
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:05:38,Francis,qt你的mic好像没开
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:14:00,Gin.,手机进去有我这边图像的视频吗[擦汗][擦汗]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:16:11,Francis,好像没有[呲牙]
